,title,type,status,genres,themes,score,scored_by,volumes,chapters,start_date,end_date,has Romance,has Comedy,has Hentai,has Fantasy,has Boys Love,has School,has Historical,has Harem,has Psychological,has Isekai
13786,Kyuujitsu to Satou,doujinshi,finished,"['Boys Love', 'Erotica']",[],6.55,746,1.0,1.0,2008-04-01,2008-04-01,0,0,0,0,1,0,0,0,0,0
17559,Fukushoku Joshi,doujinshi,finished,['Comedy'],[],5.99,635,1.0,2.0,2015-05-05,2015-05-05,0,1,0,0,0,0,0,0,0,0
22276,Chintsubu dj - Puchi,doujinshi,finished,"['Boys Love', 'Comedy', 'Erotica']",[],6.65,131,1.0,1.0,2006-12-30,2006-12-30,0,1,0,0,1,0,0,0,0,0
21009,Shinigami-chan ga Yuku☆,doujinshi,finished,"['Boys Love', 'Erotica']",[],6.4,253,1.0,2.0,2011-12-31,2011-12-31,0,0,0,0,1,0,0,0,0,0
13543,Flowers dj - Flower Children,doujinshi,finished,"['Boys Love', 'Erotica']",[],6.84,358,1.0,1.0,2023-04-02,2023-04-02,0,0,0,0,1,0,0,0,0,0
22390,Honeycomb Child dj - Honeycomb Child S,doujinshi,finished,"['Boys Love', 'Erotica']",[],6.33,210,1.0,2.0,2008-08-17,2008-08-17,0,0,0,0,1,0,0,0,0,0
9307,Datenshi ni Sasageru Uta dj - Harem Nights,doujinshi,finished,"['Boys Love', 'Comedy', 'Erotica']",[],7.19,338,3.0,3.0,2008-11-29,2009-10-25,0,1,0,0,1,0,0,0,0,0
6153,Hyakujitsu no Bara dj - Luckenwalde no Heya de,doujinshi,finished,"['Boys Love', 'Erotica']",[],7.32,571,4.0,4.0,2009-08-14,2009-08-14,0,0,0,0,1,0,0,0,0,0
24159,Valentine's Magic,doujinshi,finished,['Girls Love'],['School'],6.5,105,1.0,1.0,2014-02-02,2014-02-02,0,0,0,0,0,1,0,0,0,0
22004,Himawari Sharing,doujinshi,finished,"['Erotica', 'Girls Love']",[],6.3,234,1.0,1.0,2013-09-29,2013-09-29,0,0,0,0,0,0,0,0,0,0
19039,Kusatta Kyoushi no Houteishiki dj - Happy Dream?,doujinshi,finished,"['Boys Love', 'Comedy']",[],6.96,112,1.0,1.0,2023-04-02,2023-04-02,0,1,0,0,1,0,0,0,0,0
18047,Denkou Sekka Boys Chouhatsu dj - Taffy,doujinshi,finished,"['Boys Love', 'Erotica']",[],6.9,148,1.0,1.0,2023-04-02,2023-04-02,0,0,0,0,1,0,0,0,0,0
16816,Hisho Ikuseichuu dj - Kawaii Hisho no Sodatekata,doujinshi,finished,"['Boys Love', 'Erotica']",[],7.04,132,1.0,1.0,2007-01-01,2007-01-01,0,0,0,0,1,0,0,0,0,0
21891,Tanutan,doujinshi,finished,"['Boys Love', 'Erotica']",[],6.58,162,2.0,2.0,2006-01-01,2006-01-01,0,0,0,0,1,0,0,0,0,0
18112,Hahaoya Shikkaku: Watashi to Musuko no Mesu Buta Netorare Fukushuugeki,doujinshi,finished,['Hentai'],[],6.73,220,1.0,4.0,2012-02-18,2012-02-18,0,0,1,0,0,0,0,0,0,0
19887,Abyss,doujinshi,finished,['Girls Love'],['School'],6.75,158,1.0,4.0,2014-11-23,2014-11-23,0,0,0,0,0,1,0,0,0,0
13236,Hyakujitsu no Bara dj - Nikukyuu Techou,doujinshi,finished,"['Boys Love', 'Comedy', 'Erotica']",['Military'],7.1,203,1.0,3.0,2006-08-01,2010-08-01,0,1,0,0,1,0,0,0,0,0
7889,If Stage!!,doujinshi,finished,"['Boys Love', 'Comedy']",['Parody'],7.16,507,1.0,3.0,2014-12-28,2014-12-28,0,1,0,0,1,0,0,0,0,0
19447,Harawatagatari,doujinshi,finished,"['Comedy', 'Horror']",[],6.31,369,1.0,3.0,2012-08-12,2012-08-12,0,1,0,0,0,0,0,0,0,0
8657,"Rules dj - If Winter Comes, Can Spring Be Far Behind?",doujinshi,finished,"['Boys Love', 'Erotica']",[],7.15,427,1.0,1.0,2006-12-30,2006-12-30,0,0,0,0,1,0,0,0,0,0
5289,"Me wo Tojite 3-byou dj - Me wo Hiraitemo, 3 Senchi.",doujinshi,finished,"['Boys Love', 'Erotica']",[],7.37,672,1.0,1.0,2011-01-01,2011-01-01,0,0,0,0,1,0,0,0,0,0
17461,Sword Art Online dj - Pina Edition,doujinshi,finished,[],[],6.51,395,1.0,2.0,2013-05-06,2013-05-06,0,0,0,0,0,0,0,0,0,0
13418,Hisho Ikuseichuu dj - Hisho to Oishii Gohan,doujinshi,finished,"['Boys Love', 'Erotica']",[],7.03,230,1.0,1.0,2007-01-01,2008-01-01,0,0,0,0,1,0,0,0,0,0
14623,Aisaretaino dj - Ai no Tame ni,doujinshi,finished,"['Boys Love', 'Erotica']",[],6.8100000000000005,324,1.0,1.0,2005-08-14,2005-08-14,0,0,0,0,1,0,0,0,0,0
22869,Himitsu na Kankei dj - animal,doujinshi,finished,"['Boys Love', 'Erotica']",[],6.52,148,1.0,1.0,2023-04-02,2023-04-02,0,0,0,0,1,0,0,0,0,0
